월,유튜브_주소,구글폼_주소
9월,https://youtu.be/03oVgmC3So4?si=IU22SbQG8PZ2Gxso,https://docs.google.com/forms/d/e/1FAIpQLScy4COyCProsPjgTdqnx4zkfWBaLJ4b0NW1NP_FHcnXrae-gw/viewform?usp=dialog
8월,https://youtu.be/0bFfRBkY114?si=iABFcQu5pKeYbQKk,https://docs.google.com/forms/d/e/1FAIpQLSfYPDgFb-URCnRli-DIeXA19lq_S8SpIbVU72wzVATWonHRhg/viewform?usp=dialog
7월 특별교육,https://youtu.be/E6veXyW_Vws?si=IAXFcU7T_oeXoIaL,
7월,https://youtu.be/QQyMkH2y2vw?si=VQZEbnSKaxKcvHkD,https://docs.google.com/forms/d/e/1FAIpQLScK4lVml33c-Z9jy3jv3D2FZWkEpjBZPZfhjmumg0UeTM6eAA/viewform?usp=dialog
화물차 하이패스 차로 진입 규정 및 오진입 예방 가이드,https://youtu.be/I9s0ey4cMQU?si=dR7QUhR-u94ad-Ty,
6월,https://youtu.be/Pc1oQnKKx60?si=2GxP0huUWKb7LdC_,https://docs.google.com/forms/d/e/1FAIpQLScWtztzwp9OefapPAComlo2OVrTFMcAXG4BYFFt4GeK4j-aWQ/viewform?usp=dialog
5월,https://youtu.be/zEOj-dgTMBY?si=HLqpHpN79c8Uxrb3,https://docs.google.com/forms/d/e/1FAIpQLScLKbjnfaNgSYJg0LrgKkuAAHhPL2g21NkV3kHihyNTwoePoQ/viewform?usp=dialog
4월,https://youtu.be/7qpVn14o96Y?si=bqfgDTBxUZ6zlqgj,https://docs.google.com/forms/d/e/1FAIpQLScckNhlfVOrxzWWqlWzh04CvqW_HaqzTKRuZwp043k2qr62-Q/viewform?usp=dialog
3월,https://youtu.be/YuCoLi407OM?si=y2tK_zBNN4b5paUT,https://docs.google.com/forms/d/e/1FAIpQLSeQFRY03iL0C-kPIrN6zlkZnCBdAHhKZI3BnxMlYbg_EEJ_zA/viewform?usp=dialog
지게차 후진주행,https://youtu.be/nPWOQfPvMsU?si=o2a2w0GMkSs5Fvnz,
장비운전자 이탈시,https://youtu.be/Rx2kKgIY45o?si=uRonW2zjxl50b5U3,
