연월,매출(만원),O/B,I/B,BMPR
2024-01,"41,521","10,003.63",797.6,
2024-02,"35,206","8,173.46",1003.7,
2024-03,"36,580","8,623.94",998.5,
2024-04,"36,730","9,018.13",805.5,
2024-05,"37,293","9,160.02",763.2,
2024-06,"33,257","8,034.07",808.6,
2024-07,"38,376","8,904.64",918.7,
2024-08,"36,527","8,631.13",895.2,
2024-09,"35,343","8,173.48",724.6,
2024-10,"37,655","9,134.39",855.8,
2024-11,"37,069","8,778.29",707.4,
2024-12,"37,658","8,890.93",1023.2,
2025-01,"33,156","8,186.10",486.4,
2025-02,"39,876","9,252.30","1,624.30",
2025-03,"34,356","7,820.00","1,062.40",
2025-04,"38,040","8,664.40","1,013.10",
2025-05,"38,264","8,851.00",817.3,
2025-06,"36,644","8,170.70",644.3,
2025-07,"43,121","9,708.20","1,020.00",
2025-08,"36,345","7,945.40",665.6,
2025-09,"50,097","9,729.10",640.7,"17,281"
2025-10,"43,977","8,389.80",682.1,"14,772"
2025-11,"48,209","8,466.70",995.9,"13,741"
2025-12,"48,217","9,064.50",840.6,"14,807"
2026-01,"45,035","8,291.90",711.3,"12,706"
2026-02,"38,361","7,023.00",656.6,"11,990"
2026-03,"43,986","8,513.30",656.2,"13,408"
2026-04,"43,360","8,024.20",699.4,"13,911"
2026-05,"37,808","6,852.40",414.8,"12,898"
2026-06,"41,237","7,723.10",437.9,"13,644"
2026-07,"50,604","7,297.50",906.8,"12,772"
2026-08,"48,712","7,476.12",690.2,"12,251"
2026-09,,,,
2026-10,,,,
2026-11,,,,
2026-12,,,,
2027-01,,,,
